iter	Passed	Remaining
401	12694	18883
402	12724	18849
403	12751	18812
404	12793	18794
405	12819	18755
406	12845	18715
407	12870	18674
408	12897	18637
409	12929	18605
410	12953	18562
411	12984	18531
412	13009	18490
413	13031	18445
414	13055	18403
415	13081	18364
416	13116	18338
417	13142	18299
418	13174	18268
419	13205	18235
420	13230	18195
421	13255	18155
422	13282	18117
423	13308	18079
424	13337	18044
425	13363	18006
426	13398	17980
427	13432	17951
428	13456	17910
429	13484	17875
430	13511	17837
431	13537	17799
432	13562	17760
433	13587	17720
434	13618	17687
435	13645	17651
436	13675	17618
437	13697	17575
438	13722	17535
439	13743	17491
440	13767	17451
441	13793	17413
442	13820	17377
443	13851	17345
444	13875	17305
445	13901	17267
446	13925	17227
447	13947	17185
448	13972	17147
449	13997	17107
450	14023	17071
451	14055	17040
452	14087	17011
453	14113	16973
454	14138	16935
455	14165	16899
456	14188	16858
457	14217	16824
458	14256	16803
459	14281	16764
460	14303	16723
461	14325	16681
462	14355	16650
463	14386	16619
464	14436	16609
465	14474	16586
466	14514	16565
467	14547	16537
468	14581	16509
469	14619	16485
470	14647	16450
471	14679	16420
472	14713	16393
473	14745	16362
474	14770	16325
475	14794	16286
476	14821	16251
477	14852	16219
478	14878	16183
479	14905	16147
480	14940	16121
481	14974	16093
482	15004	16060
483	15040	16035
484	15070	16003
485	15107	15977
486	15139	15948
487	15169	15915
488	15193	15876
489	15223	15844
490	15251	15810
491	15275	15772
492	15303	15737
493	15332	15705
494	15366	15676
495	15403	15652
496	15440	15627
497	15476	15600
498	15510	15573
499	15552	15552
500	15587	15524
501	15619	15495
502	15644	15457
503	15675	15426
504	15701	15390
505	15735	15361
506	15769	15334
507	15808	15310
508	15841	15281
509	15868	15246
510	15901	15216
511	15934	15187
512	15967	15158
513	16001	15129
514	16029	15095
515	16058	15062
516	16088	15030
517	16122	15002
518	16161	14978
519	16194	14948
520	16221	14913
521	16250	14880
522	16285	14853
523	16317	14822
524	16343	14786
525	16372	14754
526	16408	14727
527	16452	14707
528	16486	14679
529	16521	14651
530	16553	14620
531	16589	14593
532	16623	14565
533	16649	14529
534	16679	14497
535	16706	14462
536	16733	14427
537	16757	14389
538	16784	14355
539	16827	14334
540	16863	14307
541	16888	14270
542	16910	14232
543	16934	14194
544	16959	14158
545	16983	14121
546	17011	14087
547	17038	14053
548	17070	14023
549	17102	13992
550	17126	13955
551	17154	13922
552	17180	13887
553	17203	13849
554	17231	13816
555	17260	13783
556	17291	13752
557	17318	13718
558	17342	13681
559	17366	13645
560	17393	13610
561	17422	13578
562	17448	13543
563	17482	13514
564	17515	13485
565	17540	13450
566	17571	13419
567	17595	13382
568	17619	13345
569	17646	13312
570	17671	13276
571	17697	13242
572	17725	13209
573	17750	13173
574	17781	13142
575	17804	13105
576	17826	13068
577	17849	13031
578	17874	12996
579	17897	12960
580	17927	12928
581	17955	12895
582	17980	12861
583	18002	12823
584	18028	12789
585	18053	12754
586	18079	12720
587	18105	12686
588	18136	12655
589	18160	12620
590	18186	12585
591	18211	12551
592	18235	12515
593	18263	12483
594	18298	12455
595	18329	12424
596	18369	12399
597	18409	12375
598	18444	12347
599	18479	12319
600	18511	12289
601	18544	12260
602	18584	12235
603	18615	12205
604	18641	12171
605	18668	12137
606	18694	12103
607	18724	12072
608	18756	12042
609	18792	12014
610	18819	11981
611	18847	11949
612	18876	11917
613	18904	11884
614	18935	11853
615	18966	11823
616	19000	11794
617	19034	11765
618	19061	11732
619	19089	11700
620	19115	11666
621	19141	11632
622	19167	11599
623	19197	11567
624	19221	11533
625	19247	11499
626	19272	11465
627	19299	11432
628	19326	11399
629	19351	11365
630	19381	11333
631	19412	11303
632	19439	11270
633	19467	11238
634	19495	11205
635	19524	11174
636	19555	11143
637	19586	11113
638	19619	11083
639	19644	11050
640	19670	11016
641	19696	10983
642	19720	10949
643	19742	10913
644	19763	10877
645	19790	10844
646	19826	10817
647	19850	10782
648	19873	10747
649	19897	10713
650	19923	10680
651	19948	10647
652	19982	10618
653	20011	10586
654	20038	10554
655	20064	10521
656	20093	10490
657	20119	10457
658	20142	10422
659	20168	10389
660	20195	10357
661	20227	10327
662	20255	10295
663	20278	10261
664	20303	10227
665	20329	10195
666	20354	10161
667	20381	10129
668	20408	10097
669	20435	10065
670	20465	10034
671	20492	10002
672	20519	9970
673	20545	9937
674	20575	9906
675	20607	9877
676	20634	9844
677	20681	9821
678	20702	9787
679	20727	9754
680	20754	9722
681	20780	9689
682	20805	9656
683	20827	9622
684	20859	9592
685	20884	9559
686	20909	9526
687	20932	9492
688	20956	9459
689	20982	9426
690	21006	9393
691	21038	9363
692	21078	9337
693	21107	9306
694	21143	9278
695	21168	9245
696	21195	9213
697	21219	9180
698	21243	9147
699	21263	9112
700	21291	9081
701	21315	9048
702	21346	9018
703	21374	8986
704	21401	8955
705	21424	8921
706	21454	8891
707	21482	8860
708	21516	8831
709	21541	8798
710	21572	8768
711	21594	8734
712	21617	8701
713	21649	8671
714	21670	8638
715	21697	8606
716	21727	8575
717	21756	8544
718	21781	8512
719	21810	8481
720	21836	8450
721	21858	8416
722	21882	8383
723	21905	8350
724	21928	8317
725	21958	8287
726	21988	8256
727	22012	8224
728	22036	8191
729	22059	8159
730	22082	8126
731	22109	8094
732	22137	8063
733	22167	8033
734	22191	8000
735	22212	7967
736	22234	7934
737	22259	7902
738	22286	7871
739	22313	7839
740	22340	7808
741	22372	7779
742	22405	7749
743	22433	7718
744	22461	7688
745	22487	7656
746	22514	7625
747	22543	7594
748	22576	7565
749	22602	7534
750	22634	7504
751	22663	7474
752	22699	7445
753	22736	7417
754	22777	7391
755	22809	7361
756	22838	7331
757	22871	7302
758	22904	7272
759	22939	7243
760	22969	7213
761	23007	7186
762	23040	7156
763	23069	7126
764	23103	7097
765	23135	7067
766	23163	7036
767	23194	7006
768	23233	6979
769	23262	6948
770	23290	6917
771	23316	6886
772	23343	6854
773	23376	6825
774	23406	6795
775	23432	6763
776	23474	6737
777	23504	6706
778	23539	6678
779	23583	6651
780	23619	6623
781	23651	6593
782	23690	6565
783	23724	6536
784	23760	6507
785	23794	6478
786	23822	6447
787	23851	6416
788	23884	6387
789	23916	6357
790	23942	6326
791	23970	6295
792	23997	6264
793	24027	6233
794	24049	6201
795	24082	6171
796	24118	6142
797	24150	6113
798	24174	6081
799	24204	6051
800	24233	6020
801	24263	5990
802	24290	5959
803	24318	5928
804	24350	5898
805	24390	5870
806	24429	5842
807	24460	5812
808	24491	5782
809	24527	5753
810	24564	5724
811	24591	5693
812	24619	5662
813	24649	5632
814	24677	5601
815	24704	5570
816	24733	5540
817	24762	5509
818	24796	5480
819	24820	5448
820	24852	5418
821	24879	5387
822	24907	5356
823	24933	5325
824	24961	5294
825	24994	5265
826	25023	5234
827	25050	5203
828	25076	5172
829	25109	5142
830	25137	5112
831	25164	5081
832	25191	5050
833	25231	5022
834	25265	4992
835	25297	4962
836	25323	4931
837	25350	4900
838	25379	4870
839	25417	4841
840	25448	4811
841	25476	4780
842	25510	4751
843	25541	4720
844	25575	4691
845	25613	4662
846	25644	4632
847	25679	4602
848	25717	4573
849	25752	4544
850	25782	4514
851	25810	4483
852	25851	4454
853	25887	4425
854	25918	4395
855	25948	4365
856	25977	4334
857	26007	4304
858	26043	4274
859	26082	4245
860	26111	4215
861	26156	4187
862	26190	4157
863	26222	4127
864	26249	4096
865	26279	4066
866	26309	4035
867	26343	4006
868	26375	3976
869	26403	3945
870	26436	3915
871	26468	3885
872	26492	3853
873	26528	3824
874	26555	3793
875	26583	3762
876	26609	3731
877	26630	3700
878	26651	3668
879	26678	3638
880	26701	3606
881	26726	3575
882	26759	3545
883	26781	3514
884	26807	3483
885	26830	3452
886	26854	3421
887	26878	3390
888	26905	3359
889	26931	3328
890	26960	3298
891	26986	3267
892	27012	3236
893	27036	3205
894	27060	3174
895	27085	3143
896	27116	3113
897	27143	3083
898	27174	3052
899	27204	3022
900	27237	2992
901	27273	2963
902	27308	2933
903	27339	2903
904	27367	2872
905	27414	2844
906	27445	2814
907	27477	2784
908	27510	2754
909	27545	2724
910	27587	2695
911	27621	2665
912	27657	2635
913	27687	2605
914	27713	2574
915	27744	2544
916	27775	2514
917	27806	2483
918	27839	2453
919	27871	2423
920	27901	2393
921	27932	2363
922	27960	2332
923	27995	2302
924	28027	2272
925	28066	2242
926	28102	2213
927	28134	2182
928	28167	2152
929	28196	2122
930	28224	2091
931	28256	2061
932	28283	2031
933	28309	2000
934	28341	1970
935	28376	1940
936	28412	1910
937	28450	1880
938	28487	1850
939	28520	1820
940	28556	1790
941	28587	1760
942	28624	1730
943	28670	1700
944	28709	1670
945	28745	1640
946	28772	1610
947	28802	1579
948	28830	1549
949	28851	1518
950	28875	1487
